UID_caps;caps_QC01A;caps_QC02A;caps_QC02;caps_QC03;caps_QC04A;caps_QC04B;caps_QC04C;caps_QC04D;caps_QC04E;caps_QC05_1;caps_QC05_2;caps_QC05_DO_QC05_1;caps_QC05_DO_QC05_2;caps_QC06A;caps_QC06B;caps_QC06C;caps_QC06D;caps_QC07;caps_QC08_1;caps_QC08_2;caps_QC08_3;caps_QC08_4;caps_QC08_5;caps_QC09A;caps_QC09B;caps_QC09C;caps_QC09D;caps_QC09E;caps_QC08B_1;caps_QC08B_2;caps_QC08B_3;caps_QC08B_4;caps_QC08B_5;caps_QC09A_2;caps_QC09B_2;caps_QC09C_2;caps_QC09D_2;caps_QC09E_2;caps_ccl_q01;caps_ccl_q02;caps_ccl_q03;caps_ccl_q04;caps_ccl_q05_1;caps_ccl_q05_2;caps_ccl_q05_3;caps_ccl_q05_4;caps_ccl_q05_5;caps_ccl_q05_6;caps_ALEA_C;caps_SliderOrder;caps_Slider_S1;caps_Slider_S2;caps_Slider_S3;caps_Slider_S4;caps_Slider_S5;caps_Choix_QC09A;caps_Choix_QC09B;caps_Choix_QC09C;caps_Choix_QC09D;caps_Choix_QC09E;caps_Choix_QC09A_2;caps_Choix_QC09B_2;caps_Choix_QC09C_2;caps_Choix_QC09D_2;caps_Choix_QC09E_2;caps_Device;caps_Version;caps_QC04_DO_QC04E;caps_QC04_DO_QC04D;caps_QC04_DO_QC04C;caps_QC04_DO_QC04B;caps_QC04_DO_QC04A;caps_QC04_DO_transition;caps_QC06_DO_transition;caps_caps_QC06_DO_QC06D;caps_QC06_DO_QC06C;caps_QC06_DO_QC06B;caps_QC06_DO_QC06A;cal_AGE;cal_DIPL;cal_SEXE;cal_TUU;cal_ZEAT;PDSPLT_INIT;POIDS_INIT;panel;POIDS_caps;PDSPLT_caps;eayy_a3_rec;eayy_a4_rev;eayy_a5;eayy_a5c_rec;eayy_b1_rev;eayy_b10a;eayy_b11;eayy_b11cjt;eayy_b18_rec;eayy_b18c;eayy_b18ccjt;eayy_b18cjt_rec;eayy_b1b;eayy_b1bcjt;eayy_b1cjt_rev;eayy_b2_11a_rec;eayy_b2_11acjt_rec;eayy_b25_rec;eayy_b25cjt_rec;eayy_b5;eayy_b5a_rec;eayy_b5acjt;eayy_b5d_rec;eayy_b6a_12a_rec;eayy_b6b_12b_rec;eayy_b7b_rec;eayy_b8_rec;eayy_b8cjt_rec;eayy_c1_rec;eayy_c1jeu;eayy_c8;eayy_c8a_rec;eayy_c8b_rec;eayy_d1;eayy_d2_rev;eayy_d3;eayy_d5a;eayy_d6;eayy_d7_rev_som;eayy_e1a;eayy_e1b;eayy_e1c;eayy_e1d;eayy_e1e;eayy_e1f1;eayy_e1f2;eayy_e1g;eayy_e1h;eayy_e1i;eayy_e1j;eayy_e2a_rec2;eayy_e2auc2;eayy_e2auc_source2;eayy_e3_som;eayy_e4;eayy_e5;eayy_e6;eayy_f1_rev;eayy_f1a1;eayy_f3_rev;eayy_f4;eayy_f6a;eayy_f7_som;eayy_f7ter;eayy_f9;eayy_g1_1;eayy_g1_2;eayy_g3a;eayy_g3b;eayy_g3c;eayy_g3d;eayy_g5;eayy_g6_1;eayy_g6_2;eayy_g6_3;eayy_g6_4;eayy_g7;eayy_g8a;eayy_g8b;eayy_g8c;eayy_h_c11;eayy_h_teo1;eayy_h5_rev;eayy_i1;eayy_i2;eayy_i8;eayy_i11_rev_22;eayy_i11a_22;eayy_i12_rev_22;eayy_i12a_22;eayy_j1;eayy_k1_rec;eayy_k2_rec;eayy_k3;eayy_pcs29_2020;eayy_pcs18_2020;eayy_pcs6_2020;eayy_pcs6cjt_2020;eayy_typmen5;eayy_vague
1573;2;1;3;2;7;5;10;10;5;4;4;1;2;8;5;10;5;1;7;7;7;4;4;2;2;2;2;10;7;7;7;4;4;2;2;2;2;10;9;4;4;9999;4;4;3;2;3;2;2;S1|S5|S3|S2|S4;7;4;7;4;7;2;2;2;2;10;2;2;2;2;10;Mobile;1;4;3;6;5;2;1;1;5;4;3;2;5;3;2;1;2;0,660611902043165;0,489506558864064;1;0,528403353525371;0,777549279333416;1;1;3;6666;5;6666;9999;6666;6;2;6666;6666;2;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;1;1;1;2;1;5;1;1;2;2;0;9999;9999;9999;1;9999;9999;9999;9999;9999;9999;9999;7;5;1;1;2;2;3;8;3;2;3;2;0;3;2;3;2;1;1;2;1;2;1;2;2;2;4;1;6666;9999;2;1;7;3;4;8;1;6;1;1;3;4;5;1;9999;9999;9999;6666;1;2025
1246;2;1;3;3;10;10;10;10;10;1;1;1;2;4;10;10;10;2;10;10;10;10;10;1;2;2;1;10;10;10;10;10;10;1;2;2;1;10;10;4;4;9999;3;5;2;1;3;2;2;S5|S3|S2|S4|S1;10;10;10;10;10;1;2;2;1;10;1;2;2;1;10;Mobile;1;6;5;3;4;2;1;1;3;4;2;5;6;3;2;6;5;0,459303698760233;0,374686162038531;1;0,436944901682607;0,519009156529333;1;5;3;6666;5;6666;1;6666;6;2;6666;6666;2;6666;6666;4;6666;2;6666;6666;2;6666;6666;1;6666;1;3;6666;1;1;2;6666;6666;1;6666;2;3;5;2;2;2;2;1;2;2;2;2;2;2;2;9;7;1;4;2;5;3;7;6;5;3;4;1;2;9;1;4;5;3;2;1;2;2;2;1;2;2;1;6666;4;2;1;7;2;3;1;1;4;1;3;3;4;5;2;67;66;6;6666;1;2025
1501;2;1;1;2;7;3;3;3;3;5;4;2;1;3;7;6;5;2;6;4;6;4;6;2;1;2;2;8;6;4;6;3;6;2;1;2;2;8;5;2;3;9999;3;3;2;2;3;2;1;S5|S4|S3|S2|S1;6;4;6;4;6;2;1;2;2;8;2;1;2;2;8;Mobile;1;5;4;2;6;3;1;1;5;4;3;2;6;4;1;1;5;0,883387556981277;0,648813242423712;1;0,766738376050948;1,02949960569019;1;4;1;7;5;6666;1;6666;1;1;1;1;2;1;5;4;2;1;2;6666;1;2;6666;6;6666;1;3;6666;2;1;1;2;1;1;6666;1;5;2;0;2;2;2;1;2;2;2;2;2;2;2;11;7;1;3;2;4;3;7;5;2;3;4;2;3;5;3;1;5;3;3;2;2;2;2;1;1;5;3;1;4;2;1;7;3;4;5;1;7;1;2;2;4;5;1;48;48;4;5;3;2025
985;9999;1;1;3;7;5;6;7;4;3;3;1;2;6;2;6;2;1;3;6;6;6;6;1;2;2;2;7;3;5;6;6;6;1;2;2;2;7;6;4;4;9999;2;3;5;3;1;2;2;S4|S2|S3|S1|S5;6;6;6;3;6;1;2;2;2;7;1;2;2;2;7;Mobile;1;3;6;4;5;2;1;1;2;4;5;3;3;2;1;1;8;0,0270034346024504;0,0140980971274521;1;0,014859083781415;0,0305753419673077;1;2;1;4;1;6666;6666;6666;10;4;4;10;1;1;1;2;4;2;2;1;2;1;4;6666;8;11;6666;2;4;3;1;2;3;2;6666;1;3;2;1;1;2;2;2;2;1;2;2;2;2;2;11;6;1;4;2;4;3;5;2;1;2;2;1;3;5;1;2;2;1;2;2;2;2;2;1;2;3;2;2;3;1;2;5;2;2;6;1;7;1;2;3;7;5;2;53;51;5;4;4;2025
1117;2;2;6666;3;9;9;9;9;7;2;2;2;1;7;10;10;10;2;5;6;7;8;9;1;2;2;2;5;5;6;7;8;9;1;2;2;2;5;9999;4;3;9999;9999;9999;9999;9999;9999;9999;2;S4|S3|S2|S5|S1;9;7;6;5;8;1;2;2;2;5;1;2;2;2;5;6666;1;6;2;5;4;3;1;1;5;3;2;4;2;2;1;8;1;1,16377048674485;2,73723714814092;1;3,42645271321058;1,47386060364576;1;1;3;6666;1;6666;6666;6666;10;4;6666;6666;1;6666;6666;2;6666;2;6666;1;1;6666;1;6666;8;9999;6666;6666;1;1;2;6666;6666;3;4;2;3;3;9999;1;2;2;2;2;2;2;1;2;2;2;9;8;9996;1;2;4;3;7;4;1;2;2;9999;2;4;1;1;2;1;2;1;2;1;2;2;2;3;1;6666;4;2;1;7;1;3;1;1;8;2;6666;3;5;4;4;45;41;4;6666;1;2025
32;1;1;1;3;5;2;2;2;3;4;3;2;1;2;2;9999;2;1;6;2;5;6;5;1;2;2;2;7;6;2;5;6;5;1;2;2;2;7;7;4;3;9999;3;3;2;2;2;2;2;S1|S4|S2|S3|S5;6;5;6;2;5;1;2;2;2;7;1;2;2;2;7;6666;1;2;5;3;6;4;1;1;5;3;2;4;6;2;1;6;2;0,871362993975267;0,403423942389891;1;0,423371924347593;0,826669212204475;1;4;1;7;5;6666;1;1;10;4;1;4;2;2;5;4;4;1;2;6666;1;6666;6666;4;6666;7;4;2;2;1;1;1;1;1;6666;2;4;3;3;2;2;2;1;2;2;2;2;2;2;2;10;6;3;2;2;2;3;6;4;3;3;4;1;2;3;4;3;2;2;2;2;2;2;2;1;2;4;3;1;4;2;1;7;1;4;1;1;8;2;6666;4;4;4;5;46;46;4;5;3;2025
873;2;1;3;3;5;3;6;6;5;3;3;2;1;5;6;7;6;2;6;3;4;5;5;2;9999;2;2;8;6;3;4;5;5;2;2;2;2;8;8;4;3;9999;4;3;1;1;4;2;2;S1|S2|S4|S3|S5;6;3;5;4;5;2;6666;2;2;8;2;2;2;2;8;6666;1;4;6;2;3;5;1;1;5;2;3;4;6;3;2;6;7;2,05131397367537;1,73411839160687;1;2,02950162655294;2,31762849635887;1;7;3;6666;5;6666;1;6666;6;2;6666;6666;2;6666;6666;1;6666;6666;6666;6666;1;6666;6666;6666;6666;6;6666;6666;1;1;1;3;2;1;6666;1;5;2;0;2;2;2;1;2;2;2;2;2;2;2;6;4;1;3;2;3;3;8;2;1;2;6;0;3;4;2;4;2;2;2;1;2;2;2;1;2;3;1;6666;4;2;1;7;3;3;6;1;7;1;2;2;2;2;5;21;21;2;6666;1;2025
1550;2;1;1;4;9;0;5;10;0;4;3;1;2;5;1;8;0;2;1;1;7;7;7;2;2;2;2;8;1;1;7;7;7;2;2;2;2;8;9;4;9999;1;4;4;2;3;4;2;2;S2|S4|S1|S5|S3;7;1;7;1;7;2;2;2;2;8;2;2;2;2;8;Mobile;1;6;2;3;4;5;1;1;5;4;2;3;5;2;2;1;8;0,144300062808375;0,0761777853610588;1;0,0699427440824074;0,14363320236466;1;4;1;7;5;6666;1;6666;11;5;4;10;2;1;1;2;4;1;2;6666;1;1;6666;6666;9;11;6666;2;2;1;1;2;1;1;6666;1;5;2;0;1;2;2;1;2;2;2;2;2;1;2;12;10;1;5;2;4;3;8;6;2;3;6;0;3;6;2;2;1;1;1;1;2;2;2;1;2;3;9999;2;2;2;1;7;2;2;8;1;7;1;2;2;8;8;2;33;32;3;3;3;2025
47;2;1;1;1;8;7;9;5;7;4;2;2;1;8;8;7;9;2;8;7;7;7;7;2;2;2;2;8;8;7;7;7;7;2;2;2;2;8;10;4;4;9999;4;4;1;1;4;1;2;S5|S3|S4|S2|S1;7;7;7;7;8;2;2;2;2;8;2;2;2;2;8;6666;1;3;2;4;5;6;1;1;3;4;2;5;6;2;2;6;5;0,0362324222037165;0,0182925316656882;1;0,01840965672218;0,0343656541213966;1;4;1;7;5;6666;6666;6666;9;3;5;11;1;1;8;2;1;2;6666;1;1;1;5;6666;9;9;6666;6666;1;1;1;2;1;1;6666;1;2;2;0;2;2;2;1;2;2;2;2;2;2;2;12;10;1;2;2;5;3;2;6;3;1;4;0;2;8;3;3;1;1;1;3;2;2;1;2;2;4;2;4;4;2;1;7;2;2;5;1;7;1;2;3;4;3;2;34;32;3;3;1;2025
374;2;2;6666;3;9;6;6;3;7;3;2;2;1;4;4;8;6;2;6;9;9;7;6;1;2;2;1;5;5;9;9;6;6;1;2;2;1;5;6;4;3;9999;3;4;2;2;4;1;1;S4|S3|S1|S2|S5;9;7;9;6;6;1;2;2;1;5;1;2;2;1;5;Mobile;1;3;2;6;4;5;1;1;3;4;2;5;4;1;2;6;4;0,0163578968726386;0,0135458426382061;1;0,0153840443648201;0,0216360795867364;1;1;3;6666;1;6666;6666;6666;11;5;6666;6666;1;6666;6666;5;6666;1;6666;1;1;6666;3;6;6666;11;2;6666;1;1;2;6666;6666;1;6666;2;5;5;2;1;2;2;2;2;2;2;2;2;2;2;11;10;1;4;2;4;3;8;4;4;3;5;1;3;6;1;1;3;4;3;2;1;2;2;1;1;9999;1;6666;2;1;1;6;2;3;5;1;11;1;3;1;6;6;2;37;36;3;6666;1;2025
